"kusaal","english","tier","kus_article","en_article","alignment_origin"
"Ghana, nwa ni gɔmma zugdaan nya'adɔl ya'a di'e na'am la , ka gaŋ saŋkanɛ ka ba mɔr na'am la pʋʋsʋg kpɛlim , ba na basi o ka mɔr na'am la saŋa yinne ma'aa.","In Ghana, when a vice-president ascends to the presidency with more than half of a presidential term remaining, he is only allowed to run for a single full term in his own right.","silver","2016 Ghanaian general election","2016 Ghanaian general election","anchor-unsure"
"ka 74 an asu'oe -m-mɛŋ na'anya'adib.","The other 74 candidates were independents.","silver","2016 Ghanaian general election","2016 Ghanaian general election","adjudicated"
"Gɔmma zugdaan Ghana nwa, na di ka bɛ na'am la ni nɔɔra ayi,ka 275 wadmaanib wʋsa mɛ na an yinne ayinne bɛ wadaanib yir ka an linɛ ka nidib la vɔɔt gaŋ nid yinne ma'aa.","The President of Ghana is elected using the two-round system, whilst the 275 members of Parliament are elected in single-member constituencies using first-past-the-post voting.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Akwasi Addae Odike n zi'enɛ tis United Progressive Party, Nana Agyenim Boateng n zi'enɛ tis United Front Party and Kwasi Busumbru n zi'enɛ tis People's Action Party daa mɛ pʋ sʋm ye o zi'eli.","Akwasi Addae Odike of the United Progressive Party, Nana Agyenim Boateng of the United Front Party and Kwasi Busumbru of the People's Action Party were also not eligible.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Nwadis piinɛ ayi la li daba anii daar, vɔtʋg la dabisir la gat la , ka labaya yina ye malifɔ sa nwɛ'ɛn ka ba gban'a Nii Lante Vanderpuye onɛ an wadmaan tis Odododiodio constituency.","On 8 December, a day after the elections there were reports of gunshots leading to the arrest of Nii Lante Vanderpuye the incumbent Member of Parliament (MP) for the Odododiodio constituency.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Vɔtʋg lʋgir daa mɔl ye,dɔlisig banɛ na pʋʋdig Guan District bɛ Oti Region n yi Guan District Local Government (Guan District Assembly) (Establishment) Instrument, 2020, ka nidib banɛ bɛ zin'ikaŋa ma'aa nɛ nyaŋ vɔt gɔmma zʋgdaan nam vɔtʋg.","The Electoral Commission announced that following the creation of the Guan District in the Oti Region through the Guan District Local Government (Guan District Assembly) (Establishment) Instrument, 2020, people in this area will only be able to take part in the presidential election.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Ben Ephson onɛ tʋm Daily Dispatch newspaper daa ti bu'os nididb pʋtɛn'ɛra zaŋi keŋ vɔtʋg ni, n bɛ Greater Accra, Central nɛ Western region sʋ'ʋlim.","Ben Ephson of the Daily Dispatch newspaper conducted polls in the Greater Accra, Central and Western regions.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"O daa bugʋ ye ,Akufo-Addo onɛ zi'enɛ tis NPP na di vɔtʋg la nɛ 52.6% vɔɔts ka Mahama na paam 45.7%.","He predicted that Akufo-Addo of the NPP will win the election with 52.6% of the votes while Mahama will obtain 45.7%.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Political Science Department bɛ University of Ghana daa mɛ bu'os nidib pʋtɛn'ɛra ka paam 11,949 nidib ka banɛ lɛs ba pʋtɛn'ɛra , ka mɛ bugʋ ye rest Akufo-Addo onɛ zi'enɛ tis(NPP) na di vɔtʋg la nɛ 51.7% vɔɔts ka Mahama mɛ paam 40.4%.","The Political Science Department of the University of Ghana polled 11,949 respondents and predicted that Akufo-Addo (NPP) will win 51.7% of the vote while Mahama wins 40.4%.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Asu'oe-m-mɛŋ ka ti buon ye ,An iPoll daa mɛ vɛɛns ka paam 670 nidib banɛ lɛs ba pʋtɛn'ɛra ka mɛ bugʋ 48.7% vɔɔts tis Mahama nɛ 46.7% tis Akufo-Addo ka li bigis ye asɛ ka ba maligim vɔt ya'as bʋzugɔ ba yinne pʋ paam im 50% vɔɔts.","An iPoll survey of 670 respondents predicted 48.7% of the votes for Mahama and 46.7% for Akufo-Addo implying that the election may go a second round as the winner has to have over 50% of the votes.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"ka Governance Research Bureau mɛ bʋgʋ ye, Akufo-Addo na paam 49.19%vɔɔtska Mahama mɛ paam 48.27% ka li bigis ye ba na maligim vɔt ya'as.","The Governance Research Bureau predicted that Akufo-Addo will obtain 49.19% of the votes and Mahama 48.27% also implying a second round of elections may be needed.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"ka asu'oe-m-mɛŋ dim lugir ka ti buon ye, A research group Research and Grant Institute of Ghana nɛ, lʋgir buon ye, Coalition of Domestic Election Observers (CODEO) yɛl ye vɔtʋg tʋʋma dim la ye, ba yina maal yɛlkanɛ bɛ la.","A research group Research and Grant Institute of Ghana raised concerns about this and the Coalition of Domestic Election Observers (CODEO) urged the commission to come out and clarify the errors properly instead of just issuing press releases.","gold","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"On an Ghana gɔmma zugdaa nannnana la, Nana Akufo-Addo n an wabʋg na'adɔɔg nid la, ba daa lɛm vɔt gaan ya'as ka li an o yiiga , ka o paam vɔɔts bɛdigʋ.","Incumbent President Nana Akufo-Addo of the New Patriotic Party (NPP) was re-elected in the first round after securing a majority of the votes.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"Ka gɔmma zugdaan kʋdʋg John Dramani Mahama daa yina ye o pʋ siak tis vɔtʋg la yi si'em na la.","Former President John Dramani Mahama announced that he would contest the results.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"ka daa mɔr tua'am la keŋ Ghana kɔɔtʋ ti'ta'ar la ni, bɛ nwadis piinɛ ayi la , li dab pitan' daar, ka ba wʋsa daa siak ka bas tua'am la bɛ yʋʋm tusa ayi nɛ piisi nɛ yinne la, li nwadis atan' la ni, li daba anaasi.Wabʋg na'adɔɔg wadaanib daa kae bɛdigʋ lɛb wadmaanib yir la na,ka wadmaanib kal zim nɛ ma'asim tiig na'adɔɔg wadamaanib, ka ba zu'oe wadmaanib yir la,nɛ asu'oe-m-mɛŋ wadmaan yinne (Andrew Asiamah Amoako) onɛ na nyaŋi di'es na'am.","The NPP lost its majority in the parliament, winning the same number of seats as the opposition NDC, resulting in a hung parliament with a single independent (Andrew Asiamah Amoako) in the position of kingmaker, who later chose to support the NPP.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"nwadig yinne la ni, onɛ an gɔmma zugdaan la, Nana Akufo-Addo daa yɛl ye, on na lɛm zi'el wabʋg na'adɔɔg la n nya'ad gɔmma zugdaan na'am la ya'as.","In December, incumbent president Nana Akufo-Addo announced that he intended to run for re-election as the New Patriotic Party (NPP) candidate.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"Ba nidib yinne onɛ daa nɔki o gbana bɛ yʋʋm tusa ayi nɛ pisi la, li nwadis piiga la, li daba anu daar, an gɔmma zudaan Nana Akufo-Addo.Na'anya'adib la wʋsa sʋm ka ba yɔ GH¢100,000 tis vɔtʋg lʋgir.Akwasi Addai Odike onɛ zi'el tis United Progressive Party daa zɛ'ɛrig wabʋg paati nɛ vɔtʋg lʋgir, ye ba nanɔɔr gu' ka o kʋ nyaŋ nɔki gbana la.wabʋg paati kʋk daan Peter Mac Manudaa ti yina kis ka ma'asim tiig paati daa ti yina bu'os ye bɔ ka vɔtʋg lʋgir la na pʋ naar vɔtʋg gbana la ka na'anya'adib nɔki gbana bɛ.","Akwasi Addai Odike of the United Progressive Party claimed that there was a conspiracy by the NPP and the Electoral Commission to prevent him from filing his nomination papers.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Ka li anɛ na'asaa sɔ'ʋg la ni ka ba nɔk taasi zin'in kanɛ ti buon ye,Criminal Investigation Department la n bɛ Ghana Police Service.","These include IT issues with their forms and some had been forwarded to the Criminal Investigation Department of the Ghana Police Service.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Banɛ pʋ sʋm ye ba zi'el la anɛ Kofi Koranteng nɛ Marricke Kofi Gane ba wʋsa zi'el tis asu'oe-m-mɛŋ .","Those disqualified include Kofi Koranteng and Marricke Kofi Gane who are both Independent.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Ghana gɔmma zugdaan , Nana Akufo-Addo bɛ yiiga ka gɔmma zugdaan kʋdʋg John Mahama dɔl.Ba yʋ'ʋra nɛ si'em la digin nwa.","The incumbent president, Nana Akufo-Addo will be the first on the list followed by John Mahama, a former president.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"Banɛ dɔlis si'em nwa,banɛ ka ba ye ba pʋ ka ba zi'el la yinne, Nana Agyenim Boateng, onɛ an UFP toun gat,daa ti mɔr antu'a keŋ kɔɔtʋ ni ye ba gu'ur ka vɔtʋg la da kena ,Amaa ka Accra kɔɔtʋ tita'ar la pʋ nyɛ si'eli na nyaŋ gu'ur vɔtʋg la.","Following this, one of the disqualified candidates, Nana Agyenim Boateng, leader of the UFP, took to court to seek redress and prevent the elections from going ahead but the Accra High Court found no grounds to grant this relief.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Ghana Police yɛl ye nidiba anu kpi' ka piinɛ awai paam sampʋat bɛ vɔtʋg la daar nɛ linɛ gat.","The Ghana Police reported 5 deaths and 19 injuries during and after the election.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"bɔzugɔ Guan constituency pʋ paaae ye pʋʋgin li.","This is because the Guan constituency had not yet been formally created.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"Nidib banɛ wʋsa daa sɔbi ba yʋ'ʋra vɔtʋg tʋʋma lugir la, anɛ 17,027,655.","The total number of registered voters was 17,027,655.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Nwadis piiga la ni, li daba awai daar, ba daa yina yɛl ye, Ghana zugdaan Nana Akufo-Addo di vɔtʋg , onɛ daa paam vɔɔts bɛdigʋ kanɛ na gu'ur ka kʋ lɛm vɔt ya'asɛ.","On 9 December, incumbent Ghana President Nana Akufo-Addo was declared the winner after securing a majority of the votes needed to avoid a runoff.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"Ban daa yine yɛl onɛ di la, Techiman South daa pʋ paasi .","The declared results exclude the figures for the Techiman South as the results there are being contested.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Ka vɔtʋg lʋgir kpɛɛm la daa yɛl ye, constituency kana vɔɔts kʋ nyaŋ tiak vɔtʋg la pʋn an si'em la.","The Electoral Commissioner states that the results of this constituency alone will not change the outcome of the election.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-unsure"
"Li daa yʋ'unɛ hali ka ba na yina yɛl banɛ di wadmaanib na'anya'ad vɔtʋ la.nwadis piinɛ ayi la, li dabisim piinɛ anaasi daar ka vɔtʋg tʋʋma dim na yina yɛl ye , ban muki ba mɛŋ hali ye ba naar Sene West constituency vɔtʋg la.","On 14 December, a week after voting was completed, the Electoral Commission announced that it was working on finalising the results for Sene West constituency.","silver","2020 Ghanaian general election","2020 Ghanaian general election","anchor-confident"
"Abantu for Development anɛ an asʋ'ʋm-mɛŋ pʋ'ab la'asʋg dim (non-governmental organisation).","ABANTU for Development is an international women's non-governmental organisation.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Li la'asʋg dɔɔdi lɛm bɛ tensieba anɛ Kenya, Tanzania, Ghana nɛ Nigeria.","Its other offices are in Kenya, Tanzania, Ghana, and Nigeria.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Zina nwa' li la'asʋg dɔtitada bɛnɛ tɛɛns bama London, United Kingdom, Nairobi, Kenya nɛ Tanzania.","Its present-day main offices are in London, United Kingdom; Nairobi, Kenya; and Tanzania.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Li mɛ paas Gender Action on Climate Change for Equality and Sustainability dim pʋʋgin.","It is also part of Gender Action on Climate Change for Equality and Sustainability.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Abantu mɛ tʋmmi li tʋʋma nɛ United Nations Economic Commission for Africa nɛ Organisation of African Unity dim.","ABANTU has also collaborated with the United Nations Economic Commission for Africa and the Organisation of African Unity.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Abantu mɔr pa'annib ka ba gaad kɔbisnu (500) pa'an la'asʋg kɔn'ɔb kɔn'ɔb Africa nɛ United Kingdom.","ABANTU has more than 500 trainers from its workshops in Africa and the United Kingdom.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Pa'annib bama maan vɛɛnsʋg dap nɛ pʋ'ab nɛ yɛla maalʋg ba tɛɛnsin nwɛnɛ gender stereotypes, social change, climate change nɛ HIV tʋntʋnnib.","These trainers conduct gender and policy analysis and host workshops in their countries on themes such as gender stereotypes, social change, climate change and support of HIV-infected workers.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Abantu's Gender and Poverty Hearings bɛdegʋ Eastern nɛ Southern Africa sʋŋya ka gɔmena gban'a nie nyain.","ABANTU's series of Gender and Poverty Hearings in Eastern and Southern Africa have contributed to transparency of government policies.","gold","Abantu for Development","ABANTU for Development","anchor-confident"
"Abantu paae tɛɛns bɛdigʋ ka ba mi'i di yɛla, ka li yinɛ ban mɔr la'asʋg dɔɔg London la, anina ka pʋ'abanɛ da yit ninsabilis tɛn'ɛsin (Africa) da pin'il la'asʋg nwa' yʋʋm tusir, kɔbiswai nɛ piswai nɛ yinne (1991) la ni.","ABANTU attracts international attention through its offices in London, where it was founded in 1991 by African women.","silver","Abantu for Development","ABANTU for Development","anchor-unsure"
"Abantu mɔr suoya nwɛ'ɛb nɛ United Nations Economic and Social Council (ECOSOC).","ABANTU has a special consultative status with the United Nations Economic and Social Council (ECOSOC).","silver","Abantu for Development","ABANTU for Development","anchor-unsure"
"Ti ya-tuona ninsabilis sʋ'ʋlim (West Africa) la'asʋg dɔtita'ar bɛnɛ Accra, Ghana ka li kpɛɛm an Rose Mensah-Kutin ka li la'asʋg dɔbil mɛ bɛ Nigeria.","The regional office for West Africa is located in Accra, Ghana (Regional Programme Manager Rose Mensah-Kutin); and there is a branch office in Nigeria.","silver","Abantu for Development","ABANTU for Development","anchor-confident"
"Abantu mɔr suora nwɛ'ɛb nɛ United Nations Economic and Social Council (ECOSOC).","ABANTU has a special consultative status with the United Nations Economic and Social Council (ECOSOC).","silver","Abantu for Development","ABANTU for Development","anchor-unsure"
"Lin nwɛ'ɛd sʋora nɛ United Nations Economic and Social Council (ECOSOC) la nɛ ba la'asʋg dɔɔgi bɛ London tɛŋin la kɛ ka li paam sʋŋir bɛdego.","ABANTU has a special consultative status with the United Nations Economic and Social Council (ECOSOC).","silver","Abantu for Development","ABANTU for Development","anchor-unsure"
"Ninsabilis tɛɛnsin (Africa), li nyɛ yu'ur hali nɛ ya-tuona ninsabilis sʋ'ʋlim (West Africa).","In Africa, it is particularly known in the West African region.","silver","Abantu for Development","ABANTU for Development","anchor-unsure"
"Li bɔɔdim anɛ di tis pʋ'ab paŋ ka ba paas na'am nya'ab pʋʋgin nɛ da' diib pʋʋgin wʋsa, ka yis linɛ wʋsa gu'ud pʋ'ab kati wa'ae ba na'am nya'ab pʋʋgin, wada pʋʋgin, malima banɛ gu'udi ka ba paami ba nyadi wada pʋʋgin nɛ ba da' diib pʋʋgin.","It seeks to increase women's participation in both politics and the economy, and erase political, legal and cultural barriers to women's equal standing before the law and their economic independence.","silver","Abantu for Development","ABANTU for Development","mined"
"La'askaŋa nwa nye yɛlkpana anaasi ka li nar ye ba gɔsi li yɛla: pʋ'ab nɛ dap nɛ nɔŋ pʋʋgin bɛllim yɛla, pʋ'ab nɛ dab nɛ zaba pʋʋgin yɛla, pʋ'ab nɛ dab nɛ teŋ sʋ'ʋgʋr yɛla nɛ pʋ'ab nɛ dab labaya tisib pʋʋgin nɛ pian'ad pʋʋgin sʋŋir la'ad yɛla.","The organisation has identified four areas of key interest: gender and poverty, gender and conflict, gender and governance, and gender and information and communication technologies.","silver","Abantu for Development","ABANTU for Development","adjudicated"
"Abdul Salam Mumini anɛ Ghana nid kanɛ maan sini.","Abdul Salam Mumini is a Ghanaian film maker.","gold","Abdul Salam Mumuni","Abdul Salam Mumuni","anchor-confident"
"Sini kanɛ ka o maal yiiga anɛ God Loves Prostitutes, anina ka Nollywood sini maan, Genevieve Nnaji da paas.","His first film was God Loves Prostitutes, which starred Nollywood star Genevieve Nnaji.","gold","Abdul Salam Mumuni","Abdul Salam Mumuni","anchor-confident"
"Salam's Venus Film Production nyaŋi yis nimbama nwa' baŋir paalʋ: Van Vicker, Jackie Aygemang, Nadia Buari ka bɛdigʋ nan kpɛlim.","Salam's Venus Film Production is responsible for the discovery of the likes of Van Vicker, Jackie Aygemang, Nadia Buari and a host of emerging others.","gold","Abdul Salam Mumuni","Abdul Salam Mumuni","anchor-confident"
"Abdul-Aziz Ayaba Musah anɛ Ghana pɔlitiks nwɛ'ɛd ka an Mion sυ'υlυm wadmaan.","Abdul-Aziz Ayaba Musah (born 1 January 1986) is a Ghanaian politician and a member of parliament for the Mion constituency in the Northern Region.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"O yinɛ Sang linɛ bɛ Gaana Northern tuuru sυ'υlυm la.","He was born on January 1, 1986, and hails from Sang in the Northern Region of Ghana.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"Ka yυυma tusa ayi' nɛ pii nɛ ayɔpɔi la ni, ka o tɔlisi maal o Post graduate kasɛta gbaυŋ linɛ an Public Administration la ka yυυma tusa ayi' nɛ piiga la ni ka o lɛn tɔlisi maal Digiree linɛ an Economics la.","In 2017, he had his Post graduate certificate in Public Administration and in 2010, he further had Degree in Economics.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"O da maali atʋm-pɛsig yυυm yinne tis Gɔmina bɛ National Health Insurance Authority ni ka lin nya'aŋ ka kena tυm n an dministrator tis Local Government Service dim tυυma la.","He was a national service personnel at the National Health Insurance Authority and later the administrator for the Local Government Service.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"Onɛ an kpɛɛm linɛ an General Manager bɛ Alhaj Musah Enterprise tυυma la ni.","He is the General Manager for Alhaj Musah Enterprise.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"Ban da vot ka o paam vot si'em anɛ 21,552 ka Mohammed Abdul Aziz onɛ an Ma'asim Tiig nid la mɛ da paam vot 14,158.","He won the seat with 21,552 votes whilst Mohammed Abdul Aziz of the NDC had 14,158 votes.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"Yυυma tusa ayi' nɛ piisi nɛ yinne la ni, ka ba da bas nɔɔr n tis Abdul-Aziz, Alexander Kwamena Afenyo-Markin, Johnson Kwaku Adu, Laadi Ayii Ayamba nɛ Emmanuel Kwasi Bedzrah ye ba si'iŋ tυυma la'asυg linɛ da maal Extraordinary Session yυυma tusa ayi' nɛ piisi nɛ yinne la ni n bɛ wadmaanib yin la nɛ ECOWAS dim la'as kanɛ da naam Freetown linɛ bɛ Sierra Leone sυ'υlυm la.","In 2021, Abdul-Aziz together with Alexander Kwamena Afenyo-Markin, Johnson Kwaku Adu, Laadi Ayii Ayamba and Emmanuel Kwasi Bedzrah were sworn in during the Extraordinary Session 2021 of the Parliament of the ECOWAS which happened in Freetown in Sierra Leone.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"O paas kpɛɛm banɛ gɔsid Special Budget la ni ka mɛ paas kpɛɛm banɛ gɔsid tυυma nɔ'ɔsυg yɛla la ni, nɛ banɛ gɔsid Social Welfare and State Enterprises la ni.","In Parliament, he has served on various committees including the Special Budget and Employment, Social Welfare and State Enterprises Committees.","gold","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"Onɛ an yiiga wadmaan kanɛ an Wabυg Na'adɔɔg nid ka di Mion sυ'υlυm wadmaanib kυk la.","Abdul-Aziz Ayaba Musah (born 1 January 1986) is a Ghanaian politician and a member of parliament for the Mion constituency in the Northern Region.","silver","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-unsure"
"O da naae o gbaυŋ zamisυg linɛ an SSSCE yυυma tusa ayi' nɛ anu la ni.","He had his SSSCE in 2005.","silver","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"Abdul Aziz anɛ mɔr.","Abdul-Aziz Ayaba Musah is a Muslim.","silver","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-unsure"
"Yυυma tusa ayi' nɛ piisi la ni, o da tɔd na'anam mɔtɔnam Jagrido linɛ bɛ ti Gaana Northern tuuru sυ'υlυm la ni.","In 2020, he donated a motorcycle to the Chief of Jagrido in the Northern Region of Ghana.","silver","Abdul-Aziz Ayaba Musah","Abdul-Aziz Ayaba Musah","anchor-confident"
"O anɛ Wadmaani tis Wa Central constituency bɛ Upper West Region, Ghana la.","He is the current Member of Parliament for Wa Central constituency in the Upper West Region of Ghana.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O da maali o Middle School Leaving Certificate nɛ yʋʋm tusir nɛ kɔbiswai nɛ pisyɔpɔi nɛ ayuobʋ (1976).","He had his Middle School Leaving Certificate in 1976.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O da maali o O level Education nɛ yʋʋm tusir nɛ kɔbiswai nɛ pisnii nɛ atan la ni (1983) ka maali o A level Education yʋʋm tusir nɛ kɔbiswai nɛ pisnii nɛ ayuobʋ la ni (1986).","He had his O level education in 1983 and his A level education in 1986.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O lɛn mɔr Diploma in Economics yʋʋm tusir nɛ kɔbiswai nɛ piswai nɛ anaasi la ni (1994) ka tɔlisi maali o Degree Psychology niyʋʋm tusir nɛ kɔbiswai nɛ piswai nɛ anaasi la ni (1994).","He earned a diploma in Economics in 1994 and a degree in Psychology in 1994.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O da lɛn maali o master's degree nɛ International Affairs ni yʋʋm tusir nɛ kɔbiswai nɛ piswai nɛ anii la ni (1998).","He also has a master's degree in International Affairs in 1998.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O mɔr PhD in Development Policy dinɛ ka o paam yi University of Ghana, African Studies yʋʋm tusa ayi nɛ piinɛ atan' la ni (2013).","He earned a PhD in Development Policy from the University of Ghana, African Studies in 2013.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O da anɛ consultant tis Institute of Policy Alternatives.","Pelpuo was a consultant for the Institute of Policy Alternatives.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
"O da lɛn anɛ Deputy Coordinator for Finance tis National Youth Council ka din nya'aŋ ka o lieb Director tis lʋg kan la.","For the National Youth Council, he was Deputy Coordinator of Finance, then its director, and then its Agricultural Ag.","gold","Abdul-Rashid Pelpuo","Abdul-Rashid Pelpuo","anchor-confident"
